A,C_KSWCK,C_SAC007,C_SAC022,C_SAC029A,C_SAC041,C_SAC062,C_SAC063,C_SAC065,C_SAC075,C_SAC083,C_SAC093,C_SAC120,C_SAC122,C_SAC148,C_SAC159,C_SAC169,C_SAC185,C_SAC193,C_SAC207,C_SAC217,C_SAC240,C_SAC247,C_SAC257,C_SAC269,C_SAC287,C_YBP002,SP_SAC083_YBP037
1927-08-31,8802.156,9768.891,10328.524,10328.524,17225.885,17073.898,17177.53,14618.946,14751.886,14918.838,4320.8057,4553.0146,4751.5684,5386.424,5370.2935,5491.8867,6410.3027,6411.7803,6433.183,8117.6016,8029.403,9210.959,9139.122,9185.705,8577.762,195.18747,0.0
1927-09-30,7303.4194,11040.003,11189.479,11189.479,18503.455,18305.492,18458.74,16705.95,16700.73,16539.406,6805.7466,5547.0757,5547.0757,5574.1875,5555.615,5610.2974,6540.1206,6544.4424,6484.992,7358.6787,7255.1343,7878.7837,7803.1294,7804.034,7225.922,256.65552,0.0
1927-10-31,6510.321,7560.104,7625.7476,7625.7476,13084.94,12849.001,12966.727,11477.419,11522.794,11459.401,6328.8076,5658.4907,5710.1274,5798.4434,5796.8657,5873.714,6736.902,6728.4814,6738.126,7406.7544,7182.012,7333.9463,7256.7334,7263.5474,6645.7617,112.34094,0.0
1927-11-30,8264.373,17533.549,17155.498,17155.498,21117.04,20035.541,20086.662,16161.025,16143.851,16106.633,11853.912,10702.134,10912.882,11161.619,11230.92,11584.96,12270.769,12252.407,11971.147,12334.345,10658.083,10681.758,10541.516,11974.736,8609.407,260.35187,0.0
1927-12-31,5562.3657,11504.106,11173.12,11173.12,15201.257,14636.114,14679.535,11920.069,11860.802,11723.788,10035.727,8894.148,9456.749,9618.9,9614.688,9798.109,10058.526,9963.784,9632.863,9895.518,8868.758,8873.378,8738.444,7411.277,5868.0894,384.01703,0.0
1928-01-31,3250.0,16062.69,16200.326,16200.326,20004.434,19318.426,19361.186,17634.932,17650.049,17685.785,9050.445,8439.585,8831.919,8946.945,8962.94,9105.386,8762.179,8746.854,8145.8555,7925.917,6820.317,6861.402,6716.159,5405.8257,3612.972,368.75504,0.0
1928-02-29,3250.0,19787.271,17988.23,17988.23,22087.023,20923.918,20966.307,18696.477,18652.19,18421.863,15856.314,15648.915,14825.391,14779.538,14818.691,14890.656,13352.881,13302.764,12250.751,11785.752,9534.054,9556.523,9317.776,7326.946,3877.9934,1883.3145,0.0
1928-03-31,15571.032,79087.35,57655.27,57655.27,68292.08,66180.414,66226.18,55537.94,56302.316,56313.133,20680.508,20673.295,19675.055,24792.387,32758.637,33903.574,30927.99,30935.385,29005.645,27812.137,23306.861,23316.477,22945.66,21939.852,16061.785,20914.94,17775.326
1928-04-30,6360.358,22978.43,22453.57,22453.57,27288.354,27065.828,27121.78,22883.334,22958.402,22705.73,14286.722,14130.804,14130.804,14353.382,14309.699,14292.309,13779.387,13741.662,13393.175,13281.3955,11748.832,12263.402,12143.288,9098.451,6540.7754,985.3808,0.0
1928-05-31,7588.4385,9986.599,10201.797,10201.797,13017.212,12854.481,12933.4375,9503.519,9657.404,9616.214,5031.2812,4772.018,5048.396,5764.601,5691.0264,5795.4375,6697.1978,6684.8516,6499.8594,8499.157,8022.305,8931.653,8848.032,9065.295,7495.517,448.85773,0.0
1928-06-30,10670.319,7069.479,7672.5747,7672.5747,12758.104,12620.382,12720.962,9071.11,9358.031,9612.056,4500.737,5073.2456,5349.8403,6181.222,6193.142,6511.6104,7940.5244,7981.5264,8019.653,10140.174,10045.533,11147.557,11072.714,11534.663,10604.715,267.92026,0.0
